Date	SR min	SR Time	SS min	SS Time	Min Light	Max Light	Min Press	Max Press	Min Temp	Max Temp	SR Press	SS Press
5/21/2008	1383	23:03	2047	34:07:00	26	26	0F	0F	8F	97	0F	0
5/22/2008	895	14:55	89	1:29	22	FF	0D	16	31	98	0E	0F
5/23/2008	2047	34:07:00	2047	34:07:00	EC	FF	0D	13	32	3E	0E	0F
5/24/2008	2047	34:07:00	2047	34:07:00	FF	FF	0D	0E	37	3B	0E	0F
5/25/2008	2047	34:07:00	2047	34:07:00	FF	FF	0D	0E	38	3C	0E	0F
5/26/2008	2047	34:07:00	2047	34:07:00	23	FF	0D	1E	32	3A	0E	0F
5/27/2008	2047	34:07:00	2047	34:07:00	23	FF	0D	19	34	3E	0E	0F
5/28/2008	2047	34:07:00	2047	34:07:00	21	FF	0E	1B	38	3E	0E	0F
5/29/2008	2047	34:07:00	2047	34:07:00	22	FF	0E	17	3A	3C	0E	0F
5/30/2008	2047	34:07:00	2047	34:07:00	23	FF	0E	14	3A	3F	0E	0F
5/31/2008	2047	34:07:00	2047	34:07:00	22	FF	0E	16	3C	46	0E	0F
6/1/2008	2047	34:07:00	257	4:17	21	FF	0E	26	3C	42	0E	13
6/2/2008	486	8:06	2047	34:07:00	1D	FF	0E	1F	39	40	13	13
6/3/2008	163	2:43	1339	22:19	22	FF	0E	16	3B	3D	12	11
6/4/2008	2047	34:07:00	2047	34:07:00	26	FF	0E	18	39	40	12	11
6/5/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0F	3E	3F	12	11
6/6/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	11	3E	40	12	11
6/7/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0F	3F	40	12	11
6/8/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	3D	40	12	11
6/9/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	3C	3E	12	11
6/10/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	3C	3E	12	11
6/11/2008	2047	34:07:00	2047	34:07:00	22	FF	0E	29	3A	3F	12	11
6/12/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	3E	3F	12	11
6/13/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0F	3E	42	12	11
6/14/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0F	3E	41	12	11
6/15/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	3E	3F	12	11
6/16/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	3E	3F	12	11
6/17/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	3D	41	12	11
6/18/2008	2047	34:07:00	2047	34:07:00	C4	FF	0E	0E	3F	43	12	11
6/19/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	3F	42	12	11
6/20/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	40	43	12	11
6/21/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	3E	41	12	11
6/22/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	3E	3F	12	11
6/23/2008	2047	34:07:00	2047	34:07:00	CA	FF	0E	0E	3E	46	12	11
6/24/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	40	43	12	11
6/25/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	40	43	12	11
6/26/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	43	45	12	11
6/27/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	41	44	12	11
6/28/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	41	44	12	11
6/29/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	44	46	12	11
