Date/Time	Real Time	Temp	Batt.	Press	Light	Tx Cnt	Tx Mode	Midnight	SR Cnt	SS Cnt	Pop Reason	Pop Day	Pop Time
6/17/2008 2:01	02:00:57	62	113	14	255	2	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 3:21	03:21:09	62	123	14	255	12	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 3:45	03:45:15	62	122	14	255	15	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 4:01	04:01:17	62	123	14	255	17	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 5:05	05:05:25	62	123	14	255	25	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 5:21	05:21:28	62	123	14	255	27	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 5:37	05:37:31	62	123	14	255	29	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 6:50	06:49:43	63	123	14	255	6	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 7:06	07:05:44	63	123	14	255	8	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 7:14	07:13:45	63	123	14	255	9	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 7:22	07:21:46	63	123	14	255	10	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 8:26	08:25:57	63	123	14	255	18	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 8:26	08:25:57	63	123	14	255	18	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 8:50	08:50:00	63	123	14	255	21	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 8:58	08:58:01	63	123	14	255	22	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 8:58	08:58:01	63	123	14	255	22	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 9:06	09:06:02	63	123	14	255	23	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 10:10	10:10:13	63	123	14	255	31	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 10:26	10:26:14	63	123	14	255	1	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 11:46	11:46:27	64	123	14	255	11	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 12:10	12:10:30	64	123	14	255	14	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 12:18	12:18:31	64	123	14	255	15	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 12:26	12:26:31	64	123	14	255	16	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 13:31	13:30:41	64	123	14	255	24	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 13:31	13:30:41	64	123	14	255	24	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 13:55	13:54:43	64	123	14	255	27	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 14:03	14:02:44	64	123	14	255	28	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 14:03	14:02:44	64	123	14	255	28	0	0:31	14	14	6	6/16/2008	21:42
6/17/2008 15:07	15:06:54	64	123	14	255	4	0	0:31	14	14	6	6/16/2008	21:42
