Date/Time	Real Time	Temp	Batt.	Press	Light	Tx Cnt	Tx Mode	Midnight	SR Cnt	SS Cnt	Pop Reason	Pop Day	Pop Time
6/23/2008 16:00	15:59:22	67	137	15	255	0	0	0:15	15	15	6	6/23/2008	11:57
6/23/2008 16:08	16:07:23	67	138	15	255	1	0	0:15	15	15	6	6/23/2008	11:57
6/23/2008 16:57	16:55:43	67	141	15	255	7	0	0:15	15	15	6	6/23/2008	11:57
6/23/2008 17:53	17:52:04	67	143	15	255	14	0	0:15	15	15	6	6/23/2008	11:57
6/23/2008 18:17	18:16:12	67	143	15	255	17	0	0:15	15	15	6	6/23/2008	11:57
6/23/2008 18:41	18:40:23	67	143	15	255	20	0	0:15	15	15	6	6/23/2008	11:57
6/23/2008 22:03	22:01:46	66	144	15	255	13	0	0:15	15	15	6	6/23/2008	11:57
6/23/2008 22:51	22:50:05	66	144	15	255	19	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 0:28	00:26:51	65	144	15	255	31	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 1:08	01:07:10	65	144	15	255	4	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 2:21	02:19:40	66	145	15	255	13	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 2:53	02:51:53	66	145	15	255	17	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 3:49	03:48:19	66	145	15	255	24	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 3:57	03:56:21	66	145	15	255	25	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 4:30	04:28:36	66	145	15	255	29	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 5:34	05:33:02	66	145	15	255	5	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 5:42	05:41:06	66	145	15	255	6	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 5:42	05:41:06	66	145	15	255	6	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 6:14	06:13:20	66	145	15	255	10	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 7:11	07:09:44	65	146	15	255	17	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 7:19	07:17:47	65	145	15	255	18	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 7:27	07:25:51	65	145	15	255	19	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 7:51	07:50:03	65	145	15	255	22	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 8:15	08:14:12	64	145	15	255	25	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 8:56	08:54:29	64	145	15	255	30	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 9:04	09:02:34	65	145	15	255	31	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 9:04	09:02:34	65	145	15	255	31	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 9:12	09:10:34	65	145	15	255	0	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 9:36	09:34:45	65	145	15	255	3	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 10:40	10:39:13	65	146	15	255	11	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 10:48	10:47:16	65	146	15	255	12	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 11:12	11:11:28	65	146	15	255	15	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 11:37	11:35:37	65	146	15	255	18	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 12:25	12:23:59	65	146	15	255	24	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 12:49	12:48:09	65	146	15	255	27	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 14:02	14:00:38	65	146	15	255	4	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 14:10	14:08:40	65	146	15	255	5	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 14:10	14:08:40	65	146	15	255	5	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 14:34	14:32:52	65	146	15	255	8	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 15:46	15:45:23	65	146	15	255	17	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 16:11	16:09:33	65	146	15	255	20	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 16:35	16:33:43	65	146	15	255	23	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 17:31	17:30:07	65	146	15	255	30	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 17:31	17:30:07	65	146	15	255	30	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 17:55	17:54:15	65	146	15	255	1	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 18:19	18:18:27	66	146	15	255	4	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 19:08	19:06:47	66	147	15	255	10	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 20:45	20:43:28	66	147	15	255	22	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 21:41	21:39:50	66	147	15	255	29	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 22:29	22:28:10	66	147	15	255	3	0	0:15	15	15	6	6/23/2008	11:57
6/24/2008 22:37	22:36:13	66	147	15	255	4	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 0:22	00:21:04	66	147	15	255	17	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 1:59	01:57:48	66	147	15	255	29	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 3:44	03:42:33	66	147	15	255	10	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 4:08	04:06:44	66	147	15	255	13	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 5:20	05:19:15	66	147	15	255	22	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 5:28	05:27:17	66	147	15	255	23	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 5:44	05:43:26	66	147	15	255	25	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 7:05	07:03:57	66	147	15	255	3	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 7:13	07:12:01	66	147	15	255	4	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 7:29	07:28:08	66	147	15	255	6	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 7:53	07:52:18	67	147	15	255	9	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 8:42	08:40:36	66	148	15	255	15	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 8:50	08:48:41	67	148	15	255	16	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 8:58	08:56:44	67	148	15	255	17	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 9:06	09:04:46	67	148	15	255	18	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 9:38	09:37:01	67	148	15	255	22	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 10:35	10:33:26	67	148	15	255	29	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 10:51	10:49:33	67	148	15	255	31	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 11:15	11:13:43	67	148	15	255	2	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 12:03	12:02:03	68	148	15	255	8	0	0:15	15	15	6	6/23/2008	11:57
6/25/2008 12:19	12:18:10	67	148	15	255	10	0	0:15	15	15	6	6/23/2008	11:57
