Date	SR min	SR Time	SS min	SS Time	Min Light	Max Light	Min Press	Max Press	Min Temp	Max Temp	SR Press	SS Press
5/21/2008	1387	23:07	2047	34:07:00	23	23	10	10	8F	97	10	0
5/22/2008	572	9:32	77	1:17	1D	FF	0F	11	33	8F	10	10
5/23/2008	2047	34:07:00	2047	34:07:00	20	FF	0F	1E	31	3C	10	10
5/24/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	35	39	10	10
5/25/2008	2047	34:07:00	2047	34:07:00	24	FF	0F	14	34	3D	10	10
5/26/2008	2047	34:07:00	2047	34:07:00	21	FF	0F	17	38	40	10	10
5/27/2008	2047	34:07:00	2047	34:07:00	21	FF	0F	17	38	3E	10	10
5/28/2008	2047	34:07:00	2047	34:07:00	21	FF	0F	19	3A	3F	10	10
5/29/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	3C	3D	10	10
5/30/2008	2047	34:07:00	2047	34:07:00	89	FF	0F	14	3D	3E	10	10
5/31/2008	2047	34:07:00	2047	34:07:00	20	FF	0F	15	3D	44	10	10
6/1/2008	2047	34:07:00	2047	34:07:00	21	FF	10	16	3D	42	10	10
6/2/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	3C	3F	10	10
6/3/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	3D	3E	10	10
6/4/2008	2047	34:07:00	2047	34:07:00	21	FF	0F	1A	38	3E	10	10
6/5/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	11	3B	3E	10	10
6/6/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	10	3C	3E	10	10
6/7/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	10	3B	3F	10	10
6/8/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	11	39	3D	10	10
6/9/2008	2047	34:07:00	2047	34:07:00	B3	FF	10	14	39	3D	10	10
6/10/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	3A	3C	10	10
6/11/2008	2047	34:07:00	2047	34:07:00	8C	FF	10	13	39	40	10	10
6/12/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	10	3E	40	10	10
6/13/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	12	3E	43	10	10
6/14/2008	2047	34:07:00	2047	34:07:00	21	FF	10	15	3F	42	10	10
6/15/2008	2047	34:07:00	2047	34:07:00	20	FF	10	2E	39	44	10	10
6/16/2008	2047	34:07:00	2047	34:07:00	20	FF	10	2B	39	42	10	10
6/17/2008	2047	34:07:00	2047	34:07:00	20	FF	10	18	39	43	10	10
6/18/2008	2047	34:07:00	2047	34:07:00	21	FF	10	1E	36	47	10	10
6/19/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	12	42	45	10	10
6/20/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	10	41	44	10	10
6/21/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	10	3D	41	10	10
6/22/2008	2047	34:07:00	2047	34:07:00	22	FF	10	20	39	43	10	10
6/23/2008	2047	34:07:00	2047	34:07:00	20	FF	10	3D	33	44	10	10
6/24/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	10	3F	42	10	10
6/25/2008	2047	34:07:00	2047	34:07:00	20	FF	10	1A	3E	46	10	10
6/26/2008	2047	34:07:00	2047	34:07:00	20	FF	10	17	3C	46	10	10
6/27/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	10	44	46	10	10
6/28/2008	2047	34:07:00	2047	34:07:00	6B	FF	10	12	43	48	10	10
6/29/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	11	47	4D	10	10
6/30/2008	2047	34:07:00	2047	34:07:00	20	FF	10	20	3E	4F	10	10
7/1/2008	2047	34:07:00	2047	34:07:00	CA	FF	10	16	3E	4F	10	10
7/2/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	13	41	4A	10	10
7/3/2008	2047	34:07:00	2047	34:07:00	B4	FF	10	15	41	4B	10	10
7/4/2008	2047	34:07:00	2047	34:07:00	3C	FF	10	1D	39	4A	10	10
7/5/2008	2047	34:07:00	2047	34:07:00	2C	FF	10	16	3D	49	10	10
7/6/2008	2047	34:07:00	2047	34:07:00	1E	FF	10	3C	36	49	10	10
7/7/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	13	48	4A	10	10
7/8/2008	2047	34:07:00	2047	34:07:00	20	FF	10	1D	41	4D	10	10
7/9/2008	2047	34:07:00	2047	34:07:00	29	FF	10	16	49	4F	10	10
7/10/2008	2047	34:07:00	2047	34:07:00	1E	FF	10	3A	37	4D	10	10
7/11/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	12	48	4A	10	10
7/12/2008	2047	34:07:00	2047	34:07:00	46	FF	10	15	43	4B	10	10
7/13/2008	2047	34:07:00	2047	34:07:00	86	FF	10	15	43	4D	10	10
7/14/2008	2047	34:07:00	2047	34:07:00	67	FF	10	14	44	4E	10	10
7/15/2008	2047	34:07:00	2047	34:07:00	20	FF	10	41	36	4C	10	10
7/16/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	13	48	4A	10	10
7/17/2008	2047	34:07:00	2047	34:07:00	22	FF	10	17	42	4C	10	10
7/18/2008	2047	34:07:00	2047	34:07:00	21	FF	10	16	44	50	10	10
7/19/2008	2047	34:07:00	2047	34:07:00	20	FF	10	1A	3D	51	10	10
7/20/2008	2047	34:07:00	2047	34:07:00	25	FF	10	17	40	52	10	10
7/21/2008	2047	34:07:00	2047	34:07:00	21	FF	10	1F	39	54	10	10
7/22/2008	2047	34:07:00	2047	34:07:00	20	FF	10	1C	3C	53	10	10
7/23/2008	2047	34:07:00	2047	34:07:00	2E	FF	10	15	47	53	10	10
7/24/2008	2047	34:07:00	2047	34:07:00	29	FF	10	17	46	50	10	10
7/25/2008	2047	34:07:00	2047	34:07:00	24	FF	10	18	43	4F	10	10
7/26/2008	2047	34:07:00	2047	34:07:00	23	FF	10	17	45	4F	10	10
7/27/2008	2047	34:07:00	2047	34:07:00	22	FF	10	17	44	51	10	10
7/28/2008	2047	34:07:00	2047	34:07:00	23	FF	10	18	41	54	10	10
7/29/2008	2047	34:07:00	2047	34:07:00	21	FF	10	15	47	54	10	10
7/30/2008	2047	34:07:00	2047	34:07:00	1F	FF	10	16	43	53	10	10
7/31/2008	2047	34:07:00	2047	34:07:00	20	FF	10	17	42	52	10	10
8/1/2008	2047	34:07:00	2047	34:07:00	20	FF	10	18	45	4E	10	10
8/2/2008	2047	34:07:00	2047	34:07:00	21	FF	10	17	41	4D	10	10
8/3/2008	2047	34:07:00	2047	34:07:00	1F	FF	10	17	41	4E	10	10
8/4/2008	2047	34:07:00	2047	34:07:00	21	FF	10	18	43	4F	10	10
8/5/2008	2047	34:07:00	2047	34:07:00	21	FF	10	24	3E	4F	10	10
8/6/2008	2047	34:07:00	2047	34:07:00	20	FF	10	18	43	4F	10	10
8/7/2008	2047	34:07:00	2047	34:07:00	1F	FF	10	17	43	4D	10	10
8/8/2008	2047	34:07:00	2047	34:07:00	24	FF	10	1D	40	4E	10	10
8/9/2008	2047	34:07:00	2047	34:07:00	20	FF	10	17	44	4F	10	10
8/10/2008	2047	34:07:00	2047	34:07:00	21	FF	10	15	4B	52	10	10
8/11/2008	2047	34:07:00	2047	34:07:00	26	FF	10	17	43	52	10	10
8/12/2008	2047	34:07:00	2047	34:07:00	1E	FF	10	18	40	51	10	10
8/13/2008	2047	34:07:00	2047	34:07:00	20	FF	10	24	3D	4E	10	10
8/14/2008	2047	34:07:00	2047	34:07:00	1E	FF	10	22	3D	4B	10	10
8/15/2008	2047	34:07:00	2047	34:07:00	20	FF	10	53	33	4C	10	10
8/16/2008	2047	34:07:00	2047	34:07:00	20	FF	10	38	38	4C	10	10
8/17/2008	2047	34:07:00	2047	34:07:00	20	FF	10	19	40	4E	10	10
8/18/2008	2047	34:07:00	1199	19:59	1C	FF	10	1F	3B	4E	10	17
8/19/2008	076	1:16	2047	34:07:00	1F	FF	10	45	34	48	10	17
8/20/2008	070	1:10	1231	20:31	20	FF	10	1E	3E	4B	10	10
8/21/2008	067	1:07	1226	20:26	1E	FF	10	53	30	4C	10	16
8/22/2008	068	1:08	1239	20:39	1F	FF	10	2D	3A	4C	10	10
8/23/2008	085	1:25	1140	19:00	1F	FF	10	2A	3B	4F	10	18
8/24/2008	147	2:27	1220	20:20	20	FF	10	32	3A	4B	13	10
8/25/2008	079	1:19	1203	20:03	20	FF	10	2D	3C	4E	10	10
8/26/2008	102	1:42	1195	19:55	20	FF	10	29	3C	51	10	10
8/27/2008	114	1:54	1214	20:14	1F	FF	10	17	42	4E	10	10
8/28/2008	119	1:59	1206	20:06	1F	FF	10	26	3B	51	10	10
8/29/2008	117	1:57	1195	19:55	20	FF	10	14	4E	52	10	10
8/30/2008	134	2:14	1185	19:45	20	FF	10	23	42	55	10	10
8/31/2008	148	2:28	1180	19:40	1F	FF	10	2A	3D	51	10	10
9/1/2008	149	2:29	1179	19:39	1F	FF	10	14	4E	54	10	10
9/2/2008	164	2:44	1154	19:14	1F	FF	10	25	3E	4F	10	10
9/3/2008	163	2:43	1131	18:51	1E	FF	10	5E	2F	48	10	15
9/4/2008	146	2:26	1087	18:07	1F	FF	10	3B	35	4D	10	15
9/5/2008	154	2:34	1106	18:26	1F	FF	10	3D	36	4C	10	11
9/6/2008	158	2:38	1120	18:40	1F	FF	10	20	40	49	10	10
9/7/2008	177	2:57	1076	17:56	1E	FF	10	4A	33	49	10	15
9/8/2008	261	4:21	1083	18:03	20	FF	10	24	3C	49	13	16
9/9/2008	251	4:11	1077	17:57	1F	FF	10	4D	32	49	13	13
9/10/2008	209	3:29	1073	17:53	1F	FF	10	42	33	4C	14	14
9/11/2008	175	2:55	1088	18:08	1F	FF	10	50	32	4C	10	10
9/12/2008	208	3:28	1004	16:44	1F	FF	10	2A	3C	49	10	17
9/13/2008	225	3:45	1055	17:35	1F	FF	10	1A	3F	4A	13	13
9/14/2008	239	3:59	1028	17:08	1F	FF	10	5E	2D	4B	10	15
9/15/2008	283	4:43	1047	17:27	1F	FF	10	59	2E	4B	11	14
9/16/2008	206	3:26	1044	17:24	1F	FF	10	1E	43	4D	10	10
9/17/2008	229	3:49	1049	17:29	1B	FF	10	1A	46	4E	10	10
9/18/2008	323	5:23	1041	17:21	20	FF	10	2B	3D	4D	15	14
9/19/2008	318	5:18	1024	17:04	1F	FF	10	1A	47	4E	14	14
9/20/2008	308	5:08	1021	17:01	1F	FF	10	1A	47	50	13	13
9/21/2008	245	4:05	952	15:52	1F	FF	10	1D	40	50	10	16
